Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,094029,1927,06,29.9,Y
IDCJAC0001,094029,1927,07,58.6,Y
IDCJAC0001,094029,1927,08,30.7,Y
IDCJAC0001,094029,1927,09,27.9,Y
IDCJAC0001,094029,1927,10,36.7,Y
IDCJAC0001,094029,1927,11,33.4,Y
IDCJAC0001,094029,1927,12,69.5,Y
IDCJAC0001,094029,1928,01,112.3,Y
IDCJAC0001,094029,1928,02,32.7,Y
IDCJAC0001,094029,1928,03,23.6,Y
IDCJAC0001,094029,1928,04,108.6,Y
IDCJAC0001,094029,1928,05,36.0,Y
IDCJAC0001,094029,1928,06,47.4,Y
IDCJAC0001,094029,1928,07,44.1,Y
IDCJAC0001,094029,1928,08,53.8,Y
IDCJAC0001,094029,1928,09,113.6,Y
IDCJAC0001,094029,1928,10,106.7,Y
IDCJAC0001,094029,1928,11,40.6,Y
IDCJAC0001,094029,1928,12,50.7,Y
IDCJAC0001,094029,1929,01,54.3,Y
IDCJAC0001,094029,1929,02,32.0,Y
IDCJAC0001,094029,1929,03,26.3,Y
IDCJAC0001,094029,1929,04,111.0,Y
IDCJAC0001,094029,1929,05,40.5,Y
IDCJAC0001,094029,1929,06,57.6,Y
IDCJAC0001,094029,1929,07,42.5,Y
IDCJAC0001,094029,1929,08,16.9,Y
IDCJAC0001,094029,1929,09,41.8,Y
IDCJAC0001,094029,1929,10,37.7,Y
IDCJAC0001,094029,1929,11,80.0,Y
IDCJAC0001,094029,1929,12,136.2,Y
